method,req,n,n_apps,calls_app1,max_app1,min_app1,mean_app1,std_app1,ovh_per_req,ct_per_req,calls_app2,calls_app3,max_app2,max_app3,min_app2,min_app3,mean_app2,mean_app3,std_app2,std_app3,calls_app4,calls_app5,max_app4,max_app5,min_app4,min_app5,mean_app4,mean_app5,std_app4,std_app5,calls_app6,calls_app7,max_app6,max_app7,min_app6,min_app7,mean_app6,mean_app7,std_app6,std_app7
rn,f,10,1,10,0.196638,0.062323,0.1589510999999999,0.0490659797139525,0.0001761,0.0265728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rn,r,10,1,10,0.057249,0.054869,0.0557868999999999,0.0007593592627998,0.0001684,0.1110333999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rn,s,10,1,10,0.058171,0.054705,0.0556091,0.0009994833115165,0.0001115,0.0568768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rn,f,10,3,3,0.085264,0.067127,0.0786243333333333,0.0081623275411422,0.0001659,0.0119151,4.0,3.0,0.105403,0.090452,0.028395,0.030113,0.07909525,0.068241,0.0314432759614436,0.0270827361616214,,,,,,,,,,,,,,,,,,,,
rn,r,10,3,2,0.056579,0.055265,0.055922,0.0006569999999999,0.0002342,0.0645239,2.0,6.0,0.006508,0.007565,0.004442,0.004618,0.005475,0.0057633333333333,0.001033,0.0009938579151747,,,,,,,,,,,,,,,,,,,,
rn,s,10,3,3,0.056923,0.054881,0.0559283333333333,0.0008344744187544,0.0001142,0.0212661,5.0,2.0,0.005262,0.006574,0.004285,0.006272,0.0045509999999999,0.006423,0.0003624444785067,0.000151,,,,,,,,,,,,,,,,,,,,
rn,f,10,5,2,0.07217,0.066862,0.069516,0.0026539999999999,0.0003904,0.0122928999999999,1.0,3.0,0.031721,0.046488,0.031721,0.021792,0.031721,0.0307653333333333,0.0,0.01115461726023,2.0,2.0,0.094052,0.070594,0.09128,0.065561,0.092666,0.0680775,0.0013859999999999,0.0025165,,,,,,,,,,
rn,r,10,5,2,0.055781,0.055543,0.055662,0.0001189999999999,0.0001689999999999,0.072196,1.0,3.0,0.006655,0.007472,0.006655,0.004069,0.006655,0.0057593333333333,0.0,0.0013893586849894,3.0,1.0,0.005983,0.00785,0.004378,0.00785,0.0053893333333333,0.00785,0.0007187212409705,0.0,,,,,,,,,,
rn,s,10,5,2,0.062381,0.055628,0.0590045,0.0033765,0.0001687,0.0182772,2.0,4.0,0.008799,0.008402,0.00717,0.004199,0.0079845,0.0058449999999999,0.0008144999999999,0.0015675610035976,1.0,1.0,0.007418,0.006994,0.007418,0.006994,0.007418,0.006994,0.0,0.0,,,,,,,,,,
rn,f,10,7,0,0.0,0.0,0.0,0.0,0.0002334999999999,0.0153691,0.0,2.0,0.0,0.04034,0.0,0.036428,0.0,0.038384,0.0,0.0019559999999999,2.0,1.0,0.05118,0.015775,0.031808,0.015775,0.041494,0.015775,0.009686,0.0,2.0,3.0,0.144905,0.128896,0.079523,0.1174,0.112214,0.1243953333333333,0.032691,0.0050137826926272
rn,r,10,7,0,0.0,0.0,0.0,0.0,0.0001723999999999,0.0694625,1.0,2.0,0.004959,0.005662,0.004959,0.005147,0.004959,0.0054045,0.0,0.0002575,3.0,1.0,0.005972,0.004838,0.005383,0.004838,0.0056373333333333,0.004838,0.0002470766862512,0.0,1.0,2.0,0.012277,0.008734,0.012277,0.005646,0.012277,0.00719,0.0,0.001544
rn,s,10,7,0,0.0,0.0,0.0,0.0,0.0001278,0.0067852999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.008171,0.007621,0.004369,0.00406,0.0063363333333333,0.005595,0.0015549922472118,0.001494655144172,2.0,2.0,0.008125,0.005806,0.004125,0.004354,0.006125,0.00508,0.002,0.000726
rr,f,10,1,10,0.075083,0.057599,0.0647073,0.0055761020623729,0.0001461999999999,0.0134965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr,r,10,1,10,0.057508,0.054362,0.0553743,0.0008337215422429,0.0001486,0.1081501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr,s,10,1,10,0.0574,0.054407,0.0554905,0.0009398369273443,0.0001091,0.0563902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr,f,10,3,3,0.08569,0.064293,0.0725023333333333,0.0094179174744502,0.0001523,0.0126081,4.0,3.0,0.045097,0.047929,0.010043,0.022399,0.03402425,0.035676,0.0140506031076071,0.0104477001296936,,,,,,,,,,,,,,,,,,,,
rr,r,10,3,3,0.056531,0.054649,0.0554406666666666,0.0007968196505832,0.0002242,0.0823405,4.0,3.0,0.008133,0.00577,0.004175,0.00452,0.0056375,0.0051243333333333,0.0015511913969591,0.0005111466412771,,,,,,,,,,,,,,,,,,,,
rr,s,10,3,3,0.056105,0.055816,0.0559246666666666,0.0001284064726648,9.769999999999998e-05,0.0209013,4.0,3.0,0.005799,0.005459,0.004161,0.00414,0.0046455,0.004938,0.0006757627172314,0.0005729962187193,,,,,,,,,,,,,,,,,,,,
rr,f,10,5,2,0.068237,0.06194,0.0650885,0.0031485,0.0002107999999999,0.0107592,2.0,2.0,0.049939,0.048847,0.035216,0.034622,0.0425775,0.0417345,0.0073615,0.0071125,2.0,2.0,0.026339,0.042305,0.020299,0.018623,0.023319,0.030464,0.00302,0.011841,,,,,,,,,,
rr,r,10,5,2,0.055772,0.05498,0.055376,0.000396,0.0001529,0.0594371,2.0,2.0,0.007274,0.005171,0.004449,0.004513,0.0058615,0.004842,0.0014125,0.000329,2.0,2.0,0.005194,0.005671,0.004704,0.004796,0.004949,0.0052335,0.000245,0.0004374999999999,,,,,,,,,,
rr,s,10,5,2,0.055365,0.055288,0.0553265,3.850000000000034e-05,0.0001308,0.0168123,2.0,2.0,0.005737,0.006608,0.004841,0.004345,0.005289,0.0054765,0.000448,0.0011315,2.0,2.0,0.005744,0.00851,0.005324,0.007037,0.005534,0.0077735,0.00021,0.0007365,,,,,,,,,,
rr,f,10,7,1,0.065817,0.065817,0.065817,0.0,0.0001469,0.0099126,2.0,2.0,0.033187,0.033226,0.015271,0.016078,0.024229,0.024652,0.008958,0.008574,2.0,1.0,0.031179,0.026796,0.01066,0.026796,0.0209195,0.026796,0.0102595,0.0,1.0,1.0,0.035059,0.023383,0.035059,0.023383,0.035059,0.023383,0.0,0.0
rr,r,10,7,1,0.05486,0.05486,0.05486,0.0,0.0001896999999999,0.0825173999999999,2.0,2.0,0.006548,0.005435,0.005807,0.004409,0.0061775,0.0049219999999999,0.0003705,0.000513,2.0,1.0,0.005096,0.005818,0.004839,0.005818,0.0049675,0.005818,0.0001284999999999,0.0,1.0,1.0,0.004456,0.005817,0.004456,0.005817,0.004456,0.005817,0.0,0.0
rr,s,10,7,1,0.05537,0.05537,0.05537,0.0,0.0001037,0.0114413,2.0,2.0,0.005591,0.005883,0.004468,0.005775,0.0050294999999999,0.005829,0.0005614999999999,5.400000000000023e-05,2.0,1.0,0.006169,0.00836,0.004921,0.00836,0.005545,0.00836,0.000624,0.0,1.0,1.0,0.005426,0.004191,0.005426,0.004191,0.005426,0.004191,0.0,0.0
ls,f,10,1,10,0.079882,0.054576,0.0656628,0.0069968001372055,0.0002287,0.0139521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,r,10,1,10,0.06911,0.055007,0.0572352,0.0040331166062984,0.0001902,0.1069048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,s,10,1,10,0.066322,0.054848,0.0569936,0.0032863585683853,0.0001239,0.0580464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,f,10,3,8,0.079303,0.058265,0.065304,0.005977546779407,0.0006267,0.0101325,2.0,0.0,0.012017,0.0,0.009545,0.0,0.0107809999999999,0.0,0.001236,0.0,,,,,,,,,,,,,,,,,,,,
ls,r,10,3,1,0.056728,0.056728,0.056728,0.0,0.0001817999999999,0.0664647,1.0,8.0,0.004756,0.00552,0.004756,0.004315,0.004756,0.00473725,0.0,0.000461921733089,,,,,,,,,,,,,,,,,,,,
